digitSpan,digits,digitsReverse,trialNumber,trialFSPractice.thisRepN,trialFSPractice.thisTrialN,trialFSPractice.thisN,trialFSPractice.thisIndex,DigitLoopPractice.thisRepN,DigitLoopPractice.thisTrialN,DigitLoopPractice.thisN,DigitLoopPractice.thisIndex,trialsFS.thisRepN,trialsFS.thisTrialN,trialsFS.thisN,trialsFS.thisIndex,digitLoop.thisRepN,digitLoop.thisTrialN,digitLoop.thisN,digitLoop.thisIndex,trialsPracticeBS.thisRepN,trialsPracticeBS.thisTrialN,trialsPracticeBS.thisN,trialsPracticeBS.thisIndex,digitLoopPracticeBS.thisRepN,digitLoopPracticeBS.thisTrialN,digitLoopPracticeBS.thisN,digitLoopPracticeBS.thisIndex,thisRow.t,notes,GenInsText.started,movealong.started,movealong.keys,movealong.rt,Reminder1.started,movealong2.started,movealong2.keys,movealong2.rt,Reminder2.started,movealong3.started,movealong3.keys,movealong3.rt,FSGenInsText.started,startPractice.started,startPractice.keys,startPractice.rt,fixation_2.started,pres_text_practice.started,fixation_2.stopped,pres_text_practice.stopped,recall_txtPractice.started,textboxPractice.started,cont_buttonPractice.started,mousePractice.started,textboxPractice.text,correct,mousePractice.x,mousePractice.y,mousePractice.leftButton,mousePractice.midButton,mousePractice.rightButton,mousePractice.clicked_name,feedbac_textPractice.started,feedbac_textPractice.stopped,praccomplete.started,startFSreal.started,startFSreal.keys,startFSreal.rt,fixation.started,presentation_text.started,fixation.stopped,presentation_text.stopped,digitsForTrial,recall_txt.started,textbox.started,cont_button.started,mouse_3.started,textbox.text,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,feedback_text.started,feedback_text.stopped,roundTransition.started,moveToBS.started,moveToBS.keys,moveToBS.rt,BSGenInsText.started,startBSprac.started,startBSprac.keys,startBSprac.rt,fixation_3.started,pres_text_practice_2.started,fixation_3.stopped,pres_text_practice_2.stopped,recall_txtPractice_2.started,textboxPractice_2.started,cont_buttonPractice_2.started,mousePractice_2.started,textboxPractice_2.text,participant,date,expName,psychopyVersion,frameRate,
,,,6,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,148.26532037500874,148.26532037500874,148.26532037500874,-0.0001286670012632385,3456789,-0.06222222222222222,-0.4033333333333333,1,0,0,cont_button,149.54860745900078,150.54796254199755,,,,,,,,,,,,,,,,,,001,2025-07-25_19h02.48.063,CGTriskyDMtask,2022.2.1,59.98257518061203,
,,,7,,,,,,,,,0,6,6,6,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.54796254199755,151.54941841699474,151.54941841699474,152.5488701669965,"[2, 3, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-07-25_19h02.48.063,CGTriskyDMtask,2022.2.1,59.98257518061203,
,,,7,,,,,,,,,0,6,6,6,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.5488701669965,153.54830720899918,153.56507145900105,154.5479997920047,"[2, 3, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-07-25_19h02.48.063,CGTriskyDMtask,2022.2.1,59.98257518061203,
,,,7,,,,,,,,,0,6,6,6,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.5479997920047,155.54870704200584,155.54870704200584,156.54933804200846,"[2, 3, 1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-07-25_19h02.48.063,CGTriskyDMtask,2022.2.1,59.98257518061203,
,,,7,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,156.54933804200846,156.54933804200846,156.54933804200846,-0.0005328330007614568,34567,-0.06222222222222222,-0.4033333333333333,1,0,0,cont_button,159.9648314590013,160.96598300000187,,,,,,,,,,,,,,,,,,001,2025-07-25_19h02.48.063,CGTriskyDMtask,2022.2.1,59.98257518061203,
,,,8,,,,,,,,,0,7,7,7,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.96598300000187,161.9651728750032,161.9817763750034,162.96499970900186,"[7, 3, 4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-07-25_19h02.48.063,CGTriskyDMtask,2022.2.1,59.98257518061203,
,,,8,,,,,,,,,0,7,7,7,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.96499970900186,163.96504424999875,163.96504424999875,164.96506270900136,"[7, 3, 4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-07-25_19h02.48.063,CGTriskyDMtask,2022.2.1,59.98257518061203,
,,,8,,,,,,,,,0,7,7,7,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.96506270900136,165.96566058399912,165.96566058399912,166.96515441700467,"[7, 3, 4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-07-25_19h02.48.063,CGTriskyDMtask,2022.2.1,59.98257518061203,
,,,8,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,166.96515441700467,166.96515441700467,166.96515441700467,-0.0003216250042896718,456789,-0.06222222222222222,-0.4033333333333333,1,0,0,cont_button,170.73174083400227,171.73241491700173,,,,,,,,,,,,,,,,,,001,2025-07-25_19h02.48.063,CGTriskyDMtask,2022.2.1,59.98257518061203,
,,,9,,,,,,,,,0,8,8,8,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.73241491700173,172.7168071250053,172.73294087500835,173.71574520900322,"[2, 4, 7]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2025-07-25_19h02.48.063,CGTriskyDMtask,2022.2.1,59.98257518061203,
